15	10	E	-7498978.91381779	200
emissionprobs	10	9	H3k9me3	1	0.006730732066687677
emissionprobs	11	0	H2AFZ	0	0.9993302383642273
emissionprobs	11	0	H2AFZ	1	6.697616357726719E-4
emissionprobs	11	1	H3K27ac	0	0.9991306191937976
emissionprobs	11	1	H3K27ac	1	8.693808062022875E-4
emissionprobs	11	2	H3k27me3	0	0.999272388401952
emissionprobs	11	2	H3k27me3	1	7.276115980480903E-4
emissionprobs	11	3	H3k36me3	0	0.9588941963680556
emissionprobs	11	3	H3k36me3	1	0.04110580363194435
emissionprobs	11	4	H3k4me1	0	0.9979964536645368
emissionprobs	11	4	H3k4me1	1	0.0020035463354632754
emissionprobs	11	5	H3k4me2	0	0.9994344357327769
emissionprobs	11	5	H3k4me2	1	5.655642672231869E-4
emissionprobs	11	6	H3k4me3	0	0.9995089661906377
emissionprobs	11	6	H3k4me3	1	4.910338093624081E-4
emissionprobs	11	7	H3k79me2	0	0.9635137873404842
emissionprobs	11	7	H3k79me2	1	0.0364862126595158
emissionprobs	11	8	H3k9ac	0	0.9940357162490921
emissionprobs	11	8	H3k9ac	1	0.0059642837509078775
emissionprobs	11	9	H3k9me3	0	0.9979535098199919
emissionprobs	11	9	H3k9me3	1	0.002046490180008137
emissionprobs	12	0	H2AFZ	0	0.9985750276488708
emissionprobs	12	0	H2AFZ	1	0.001424972351129108
emissionprobs	12	1	H3K27ac	0	0.9955741101544962
emissionprobs	12	1	H3K27ac	1	0.004425889845503949
emissionprobs	12	2	H3k27me3	0	0.9971461739519237
emissionprobs	12	2	H3k27me3	1	0.0028538260480762724
emissionprobs	12	3	H3k36me3	0	0.5338911661926711
emissionprobs	12	3	H3k36me3	1	0.466108833807329
emissionprobs	12	4	H3k4me1	0	0.9924877507686751
emissionprobs	12	4	H3k4me1	1	0.007512249231324889
emissionprobs	12	5	H3k4me2	0	0.9986395206953298
emissionprobs	12	5	H3k4me2	1	0.0013604793046702738
emissionprobs	12	6	H3k4me3	0	0.9978029760207332
emissionprobs	12	6	H3k4me3	1	0.002197023979266825
emissionprobs	12	7	H3k79me2	0	0.9330294251524998
emissionprobs	12	7	H3k79me2	1	0.06697057484750026
emissionprobs	12	8	H3k9ac	0	0.984216289335508
emissionprobs	12	8	H3k9ac	1	0.015783710664492037
emissionprobs	12	9	H3k9me3	0	0.9902407674780261
emissionprobs	12	9	H3k9me3	1	0.009759232521973865
emissionprobs	13	0	H2AFZ	0	0.9871728032752444
emissionprobs	13	0	H2AFZ	1	0.012827196724755623
emissionprobs	13	1	H3K27ac	0	0.9994590219659576
emissionprobs	13	1	H3K27ac	1	5.409780340423775E-4
emissionprobs	13	2	H3k27me3	0	0.7259834850574441
emissionprobs	13	2	H3k27me3	1	0.27401651494255586
emissionprobs	13	3	H3k36me3	0	0.9998410343257084
